price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,state,city,lat,lon,county
230000.0,3.0,4.0,2.0,,single_family,2831400.0,7563.0,1906.0,421 W Church St,NY,Elmira,42.087466,-76.815327,Chemung
440000.0,3.0,3.0,1.0,2.0,single_family,3485.0,,1987.0,1 Balmoral Ct,NY,Middle Island,40.863776,-72.966595,Suffolk
585000.0,5.0,4.0,2.0,,single_family,135036.0,2560.0,1979.0,18 Arbor Rd,NY,Campbell Hall,41.449837,-74.231302,Orange
749000.0,4.0,4.0,2.0,3.0,single_family,48787.0,3372.0,2002.0,93 Cunningham Dr,NY,Lagrangeville,41.659735,-73.733766,Dutchess
369000.0,5.0,3.0,3.0,2.0,multi_family,14810.0,2751.0,1860.0,6 Hudson St,NY,Port Jervis,41.379343,-74.690333,Orange
235000.0,4.0,2.0,,,single_family,,1344.0,1900.0,26 Riverview St,NY,Walden,41.557165,-74.190996,Orange
495000.0,3.0,3.0,1.0,3.0,single_family,14810.0,1558.0,1935.0,31 Shenorock Dr,NY,Yorktown Heights,41.333477,-73.741487,Westchester
225000.0,2.0,2.0,,1.0,condos,436.0,960.0,1985.0,17 Lexington Hl Unit 6,NY,Harriman,41.311047,-74.158491,Orange
590000.0,3.0,2.0,2.0,2.0,single_family,47045.0,2683.0,1950.0,38-44 Gregory Rd,NY,Johnson,41.365447,-74.508284,Orange
540000.0,2.0,2.0,,,single_family,69696.0,1320.0,1980.0,50 Van Deusen Rd,NY,Hudson,42.214365,-73.752362,Columbia
949000.0,5.0,4.0,2.0,2.0,single_family,23958.0,4000.0,2005.0,114 Alden Dr,NY,Port Jefferson,40.952943,-73.050478,Suffolk
289982.0,2.0,1.0,,,single_family,17424.0,1000.0,1935.0,225 Quaker St,NY,Wallkill,41.599705,-74.090063,Ulster
329900.0,3.0,1.0,,,single_family,17424.0,1296.0,1965.0,3 Bartlett Dr,NY,Middletown,41.487292,-74.365584,Orange
729000.0,3.0,3.0,2.0,2.0,single_family,132858.0,2031.0,1986.0,74 Indian Lake Rd,NY,Putnam Valley,41.366848,-73.887403,Putnam
545000.0,3.0,1.0,,2.0,single_family,8350.0,1302.0,1924.0,56 Primrose St,NY,White Plains,41.030811,-73.784384,Westchester
1200000.0,5.0,4.0,2.0,2.0,single_family,87120.0,3400.0,1968.0,134 Todd Rd,NY,Katonah,41.287611,-73.644315,Westchester
735000.0,3.0,2.0,,2.0,single_family,,2556.0,2022.0,10 Kolb Rd,NY,Boiceville,42.000346,-74.284836,Ulster
539000.0,3.0,2.0,2.0,2.0,single_family,13068.0,1700.0,1976.0,285 Sunrise Dr,NY,Sayville,40.758498,-73.077301,Suffolk
599000.0,4.0,2.0,1.0,2.0,single_family,22651.0,1702.0,1973.0,74 Jennifer Ct,NY,Yorktown Heights,41.33551,-73.782917,Westchester
165000.0,1.0,1.0,,1.0,coop,,700.0,1970.0,5 Bailey Ct Unit 5,NY,Middle Island,40.889195,-72.93363,Suffolk
675000.0,3.0,2.0,1.0,,single_family,5000.0,,1949.0,93 Silver St,NY,Elmont,40.692998,-73.703473,Nassau
99913.0,2.0,1.0,,1.0,mobile,,,1999.0,525 Riverleigh Ave Unit C13,NY,Riverhead,,,Suffolk
699000.0,3.0,2.0,1.0,2.0,single_family,7392.0,1450.0,1930.0,70 Sunset Dr,NY,Croton On Hudson,41.204456,-73.876267,Westchester
499000.0,4.0,1.0,,3.0,single_family,7000.0,1498.0,1960.0,5 Bergen Dr,NY,Deer Park,40.775878,-73.311197,Suffolk
899990.0,3.0,4.0,,2.0,single_family,30056.0,,1955.0,95 Dyke Rd,NY,Setauket,40.955878,-73.10482,Suffolk
725000.0,3.0,2.0,1.0,2.0,single_family,13068.0,1670.0,1953.0,83 Bayne Pl,NY,White Plains,41.002957,-73.753398,Westchester
1600000.0,9.0,5.0,,3.0,single_family,22216.0,3210.0,1956.0,16 Hilltop Ln,NY,Monsey,41.116772,-74.071826,Rockland
1090000.0,3.0,3.0,1.0,1.0,single_family,10019.0,2129.0,1953.0,59 Coralyn Ave,NY,White Plains,40.999458,-73.761353,Westchester
5180000.0,7.0,7.0,3.0,3.0,single_family,91476.0,,2015.0,22 Rolling Hill Rd,NY,Old Westbury,40.802669,-73.582099,Nassau
365000.0,1.0,1.0,,,condos,,700.0,1988.0,50 Columbus Ave Apt 903,NY,Tuckahoe,40.951848,-73.825501,Westchester
978000.0,3.0,2.0,,2.0,single_family,15682.0,1900.0,1888.0,282 Woodbury Rd,NY,Woodbury,40.82482,-73.468086,Nassau
799000.0,3.0,3.0,,2.0,single_family,2416.0,1248.0,1910.0,87-40 Woodhaven Blvd,NY,Woodhaven,40.69247,-73.852064,Queens
248000.0,1.0,1.0,1.0,1.0,coop,,,1958.0,141-10 25 Rd Unit 3F,NY,Flushing,40.774668,-73.827187,Queens
950000.0,5.0,3.0,,2.0,multi_family,3600.0,1620.0,1930.0,131-24 161st St,NY,Jamaica,40.674625,-73.778245,Queens
859000.0,4.0,3.0,2.0,2.0,single_family,7520.0,2474.0,1978.0,337 Parkway Dr,NY,Westbury,40.757254,-73.616366,Nassau
1350000.0,7.0,5.0,,3.0,single_family,13939.0,2619.0,1956.0,18 Hilltop Ln,NY,Monsey,41.116774,-74.072295,Rockland
570000.0,4.0,1.0,1.0,2.0,single_family,4000.0,1215.0,1946.0,73 Carl Ave,NY,Franklin Square,40.708586,-73.665051,Nassau
888000.0,4.0,3.0,,2.0,multi_family,2150.0,1840.0,1940.0,1233 E 83rd St,NY,Brooklyn,40.631451,-73.904601,Kings
1420000.0,2.0,2.0,2.0,1.0,condos,2903.0,,2003.0,178 Altessa Blvd Unit 178,NY,Melville,40.797638,-73.383051,Suffolk
1200000.0,5.0,2.0,,2.0,multi_family,2000.0,,1900.0,72-27 66th Pl,NY,Glendale,40.70059,-73.886594,Queens
1199000.0,5.0,3.0,2.0,3.0,multi_family,2500.0,1440.0,1940.0,67-04 54th Ave,NY,Maspeth,40.728737,-73.897463,Queens
518000.0,1.0,1.0,1.0,1.0,condos,,,2005.0,40-53 62nd St Unit 3F,NY,Woodside,40.744014,-73.901971,Queens
229000.0,3.0,2.0,4.0,,single_family,14375.0,1666.0,1925.0,166 S Pawling St,NY,Hagaman,42.971681,-74.151251,Montgomery
722000.0,4.0,4.0,3.0,,single_family,263102.0,4035.0,2009.0,138 Sherman Rd,NY,Greene,42.341144,-75.766804,Chenango
139900.0,2.0,1.0,2.0,1.0,single_family,180338.0,1210.0,1960.0,1524 Hardy Corners Rd,NY,Franklinville,42.364357,-78.3916,Cattaraugus
134500.0,3.0,2.0,2.0,2.0,single_family,1232748.0,1122.0,1986.0,7323 Livingston Rd,NY,Franklinville,42.318768,-78.405381,Cattaraugus
149000.0,3.0,1.0,1.0,1.0,single_family,98446.0,1368.0,1970.0,21 Mineah Rd,NY,Freeville,42.477698,-76.3726,Tompkins
549900.0,4.0,4.0,3.0,,single_family,439956.0,2604.0,2001.0,294 Switzer Hill Rd,NY,Fonda,42.967541,-74.355213,Montgomery
209000.0,2.0,1.0,1.0,,single_family,2178000.0,725.0,1985.0,2545 County Highway 34,NY,Roseboom,42.6931,-74.754001,Otsego
459000.0,4.0,3.0,3.0,,single_family,13504.0,2617.0,1994.0,75 Henderson Rd,NY,Bethlehem,42.605417,-73.794784,Albany
339900.0,3.0,3.0,2.0,2.0,single_family,17860.0,2026.0,2004.0,888 Lothario Cir,NY,Webster,43.208041,-77.479653,Monroe
184900.0,3.0,2.0,,1.0,mobile,374180.0,1456.0,2016.0,34943 Countryman Rd,NY,Theresa,44.175926,-75.833977,Jefferson
539000.0,2.0,2.0,,2.0,single_family,871.0,1142.0,1989.0,174 Hunter Dr Unit W1,NY,Hunter,42.200076,-74.207065,Greene
549900.0,7.0,3.0,,,single_family,4792.0,2990.0,1880.0,206 Main St,NY,Catskill,42.21437,-73.861714,Greene
275000.0,1.0,1.0,,1.0,single_family,12632.0,880.0,1942.0,2800 Sarles Dr,NY,Yorktown Heights,41.304337,-73.779886,Westchester
75000.0,7.0,2.0,,2.0,single_family,22651.0,2195.0,1935.0,182 S Main St,NY,Hancock,,,Delaware
1650000.0,3.0,2.0,,2.0,single_family,28750.0,,1927.0,3075 Lighthouse Rd,NY,Southold,41.084631,-72.443379,Suffolk
109900.0,0.0,1.0,,,coop,,550.0,1926.0,604 Tompkins Ave Apt C18,NY,Mamaroneck,40.952541,-73.727783,Westchester
515000.0,4.0,3.0,2.0,3.0,single_family,9148.0,2255.0,2000.0,9 Ferris Gln,NY,Poughquag,41.611791,-73.706841,Dutchess
699990.0,4.0,2.0,2.0,3.0,single_family,8640.0,,1953.0,7 Parkview Cir N,NY,Bethpage,40.74797,-73.478065,Nassau
575000.0,3.0,1.0,3.0,2.0,single_family,13939.0,,2006.0,49 Palm Rd,NY,Rocky Point,40.953612,-72.939342,Suffolk
499000.0,2.0,3.0,2.0,3.0,townhomes,121532.0,,1986.0,1790 Front St Apt 14,NY,East Meadow,40.717617,-73.56678,Nassau
1349000.0,6.0,3.0,2.0,3.0,single_family,60548.0,,1968.0,7 Buckingham Dr,NY,Dix Hills,40.811212,-73.326356,Suffolk
999900.0,4.0,3.0,,,multi_family,4190.0,,1925.0,83-13 31st Ave,NY,East Elmhurst,40.759565,-73.884526,Queens
780000.0,3.0,1.0,1.0,,single_family,4000.0,1430.0,1935.0,85-30 251st St,NY,Bellerose,40.732545,-73.715716,Queens
149000.0,2.0,1.0,,1.0,coop,,,1962.0,836 Tilden St Apt 6D,NY,Bronx,40.876612,-73.860378,Bronx
