,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,state,city,county,price_per_sqft
367,6749000.0,5.0,5.0,0.0,4.0,multi_family,10550.0,4555.0,1910,331 W 18th St Unit Townhouse,NY,New York City,New York,1481.6684961580681
368,799000.0,0.0,1.0,0.0,2.0,single_family,10550.0,640.0,1951,7 Lexington Ave Apt 9C,NY,New York City,New York,1248.4375
369,675000.0,0.0,1.0,0.0,7.0,coop,10550.0,1740.0,1964,165 Christopher St Apt 3W,NY,New York City,New York,387.9310344827586
370,1500000.0,4.0,3.0,0.0,3.0,single_family,7049.0,4502.0,2009,2012 Gerritsen Ave,NY,Brooklyn,Kings,333.18525099955576
371,379000.0,0.0,1.0,0.0,1.0,coop,10550.0,450.0,1957,405 E 63rd St Apt 6A,NY,New York City,New York,842.2222222222222
372,749000.0,3.0,2.0,0.0,2.0,single_family,4400.0,1144.0,1960,29 Fillat St,NY,Staten Island,Richmond,654.7202797202797
373,929900.0,0.0,1.0,0.0,2.0,coop,10550.0,1740.0,1898,99 Bank St Apt 7D,NY,Manhattan,New York,534.4252873563219
374,838000.0,4.0,3.0,0.0,2.0,multi_family,3934.0,2088.0,1965,73 Gary Pl,NY,Staten Island,Richmond,401.34099616858236
375,525000.0,4.0,4.0,0.0,5.0,condos,10550.0,1740.0,1860,22 Mercer St Ph A,NY,New York City,New York,301.7241379310345
376,1800000.0,2.0,3.0,0.0,2.0,condos,10550.0,1633.0,1920,130 Jackson St Apt 1B,NY,Brooklyn,Kings,1102.2657685241886
377,998000.0,2.0,2.0,0.0,2.0,condos,2003.0,1300.0,2020,982 50th St Unit 5A,NY,Brooklyn,Kings,767.6923076923077
378,798000.0,2.0,1.0,0.0,2.0,condos,2003.0,974.0,2020,982 50th St Unit 6A,NY,Brooklyn,Kings,819.3018480492813
379,210000.0,3.0,2.0,2.0,1.0,single_family,65340.0,1352.0,2005,13860 Miller Ave,NY,Chaffee,Erie,155.32544378698225
380,189000.0,4.0,2.0,0.0,2.0,single_family,361548.0,2430.0,1900,12 Vine St,NY,Dundee,Yates,77.77777777777777
381,299900.0,3.0,2.0,2.0,2.0,single_family,200376.0,2272.0,1900,5334 Ridge Rd,NY,Lockport,Niagara,131.9982394366197
